player_given_name,player_surname,season_id,player_jumper_number,player_id,player_position,team_id,season_num
Jessica,Sedunary,2022,0,CD_I1005256,None,AD,6
Angela,Foley,2022,0,CD_I1005378,None,AD,6
Rhiannon,Metcalfe,2022,0,CD_I1007021,None,AD,6
Caitlin,Gould,2022,1,CD_I1014599,Ruck,AD,6
Eloise,Jones,2022,2,CD_I1005258,Forward,AD,6
Zoe,Prowse,2022,4,CD_I1014663,Ruck,AD,6
Rachelle,Martin,2022,5,CD_I1011091,Midfielder,AD,6
Hannah,Button,2022,6,CD_I1011092,Midfielder,AD,6
Nikki,Gore,2022,7,CD_I1009783,Midfielder,AD,6
Najwa,Allen,2022,8,CD_I1014559,Midfielder,AD,6
Deni,Varnhagen,2022,9,CD_I1005251,Midfielder,AD,6
McKenzie,Dowrick,2022,9,CD_I1009894,Midfielder,AD,6
Ebony,Marinoff,2022,10,CD_I1005279,Midfielder,AD,6
Jasmine,Simmons,2022,11,CD_I1024293,Ruck,AD,6
Chelsea,Biddell,2022,12,CD_I1011080,Forward,AD,6
Erin,Phillips,2022,13,CD_I1007129,Midfielder,AD,6
Stevie-Lee,Thompson,2022,14,CD_I1005386,Forward,AD,6
Danielle,Ponter,2022,15,CD_I1009794,Forward,AD,6
Ailish,Considine,2022,16,CD_I1013947,Midfielder,AD,6
Madison,Newman,2022,17,CD_I1011095,Defender,AD,6
Jasmyn,Hewett,2022,19,CD_I1010655,Ruck,AD,6
Hannah,Munyard,2022,20,CD_I1011069,Midfielder,AD,6
Montana,McKinnon,2022,21,CD_I1007327,Ruck,AD,6
Lisa,Whiteley,2022,22,CD_I1011077,Defender,AD,6
Justine,Mules,2022,23,CD_I1005955,Midfielder,AD,6
Ashleigh,Woodland,2022,24,CD_I1005264,Midfielder,AD,6
Teah,Charlton,2022,25,CD_I1011057,Midfielder,AD,6
Chelsea,Randall,2022,26,CD_I998044,Defender,AD,6
Abbie,Ballard,2022,27,CD_I1011078,Forward,AD,6
Brooke,Tonon,2022,28,CD_I1019431,Defender,AD,6
Dayna,Cox,2022,31,CD_I1005956,Defender,AD,6
Marijana,Rajcic,2022,32,CD_I1007574,Defender,AD,6
Anne,Hatchard,2022,33,CD_I1005269,Midfielder,AD,6
Sarah,Allan,2022,39,CD_I1005285,Defender,AD,6
Emily,Bates,2022,1,CD_I998155,Midfielder,BL,6
Tahlia,Hickie,2022,2,CD_I1009844,Ruck,BL,6
Breanna,Koenen,2022,3,CD_I1005661,Defender,BL,6
Sharni,Webb,2022,4,CD_I1005634,Defender,BL,6
Jade,Ellenger,2022,5,CD_I1009828,Forward,BL,6
Lily,Postlethwaite,2022,6,CD_I1009824,Midfielder,BL,6
Gabrielle,Collingwood,2022,7,CD_I1009826,Forward,BL,6
Maggie,Harmer,2022,8,CD_I1021438,Defender,BL,6
Orla,O'Dwyer,2022,9,CD_I1019034,Midfielder,BL,6
Natalie,Grider,2022,10,CD_I1009836,Defender,BL,6
Phoebe,Monahan,2022,11,CD_I997659,Defender,BL,6
Sophie,Conway,2022,12,CD_I1009847,Midfielder,BL,6
Kate,Lutkins,2022,13,CD_I1005638,Defender,BL,6
