Team,Last,LastOpp,Season,SeasonOpp,Giveup70,Giveup100,Top3Mid,Top3OppMid,TopRuc,TopOppRuc,Top2Def,Top2OppDef,Top2For,Top2OppFor,RoundID,season_num
BRL,910,885,894.6666667,930,3.166666667,0,56.72222222,68.83333333,80.83333333,45.66666667,59.41666667,58.91666667,71.5,66.08333333,6,7
CAR,961,967,952.5,904.6666667,2.666666667,1,63,70.94444444,40.6,57.5,70.08333333,51.16666667,67.58333333,61.16666667,6,7
COL,1063,806,1033,904.8333333,2.8,1,90.5,67.88888889,68.66666667,49.2,72.5,58.66666667,58.25,64.25,6,7
ESS,1043,965,991.6666667,914.1666667,3.2,1,74,75.33333333,62.33333333,67.33333333,53.5,54.41666667,73.25,58.16666667,6,7
FRE,1078,838,982.5,942.5,3,1,70.77777778,70.83333333,61.83333333,64,57.33333333,64.33333333,75.33333333,57,6,7
GCS,952,834,931.8333333,975.5,3.166666667,3,73.61111111,75.38888889,61,52,60.75,65.91666667,63.58333333,57.41666667,6,7
GWS,827,900,867.6666667,996.6666667,4,1.333333333,76.38888889,79.11111111,63.16666667,68.66666667,41.08333333,58.33333333,66.91666667,66.41666667,6,7
GEE,806,1063,931.3333333,931.3333333,3,3,71.05555556,71.5,45.5,60.83333333,58.33333333,59.16666667,60.25,65.5,6,7
HAW,838,1078,777.3333333,1030,3.5,1,50.61111111,79.94444444,52.16666667,60.83333333,49.91666667,56.75,53.83333333,68.66666667,6,7
MEL,967,961,936.3333333,938.8333333,3.6,1.333333333,71.72222222,79.94444444,54,51.66666667,57.66666667,58.08333333,53.58333333,57.58333333,6,7
PTA,799,970,869.6666667,863,1.5,1.5,70.61111111,61.16666667,42.66666667,68,35.33333333,46.83333333,62.41666667,60.08333333,6,7
NTH,900,827,878.8333333,943.5,3.333333333,1.333333333,71.16666667,72.33333333,62.66666667,59.16666667,61.08333333,49.33333333,58.91666667,70.75,6,7
RIC,982,917,1013.166667,914.1666667,2.2,1,63.77777778,70.22222222,67.33333333,50.16666667,66.16666667,56.08333333,67.25,58.5,6,7
STK,885,910,933,994.6666667,3.2,1.5,75.88888889,68.72222222,39.33333333,68.16666667,57.16666667,61.91666667,57.91666667,64.41666667,6,7
SYD,970,799,1056.833333,820.8333333,2.166666667,1,81.72222222,71.88888889,68.83333333,52.66666667,56.41666667,50.25,63.75,55.08333333,6,7
WBD,965,1043,936.1666667,984.3333333,3.166666667,1,78,72.88888889,74.66666667,73.83333333,52.91666667,52.25,52.91666667,67,6,7
ADE,917,982,1002,904.3333333,3,1,89.55555556,67.5,64,62.66666667,55.75,60.91666667,50.41666667,59.33333333,6,7
WCE,834,952,850.1666667,945.3333333,3.166666667,1.333333333,70,74.66666667,70.66666667,69.33333333,55.16666667,57.25,56,56.25,6,7
