Name,PlayerFirstName,PlayerSurname,Team,Number,Position,Price,PriceChg,TotalPriceChg,PricedAt,Breakeven,LastScore,Played,Last3Avg,Last5Avg,SeasonAvg,Games,SeasonScore,StateAvg,LastSeason,LastSeasonGames,LastSeasonHigh,2022B,LiveScore,Playing,player_id,season_num,RoundID,score_column,PlayerIcon,OppTeam,StartPrice,StartPriceChg,MatchStatus,Kick,Handball,Marks,Tackles,Hitouts,FreeFor,FreeAgainst,Goals,Behinds,TimeOnGround
Caitlin Gould,Caitlin,Gould,BRL,1,Ruck,91700,0,0,54.2314462,54,0,0,0,0,0,0,0,0,54.22222222,4,120,67,0,0,CD_I1014599,8,0,LAST,0,BRL,91700,0,1,1,5,3,1,1,3,6,6,1,15
Caitlin Gould,Caitlin,Gould,BRL,1,Ruck,89900,-1800,-1800,60.47372803,69,50,1,50,50,50,1,50,0,54.22222222,4,120,67,50,0,CD_I1014599,8,1,LAST,0,BRL,91700,-1800,1,8,10,10,7,5,4,9,6,10,4
Caitlin Gould,Caitlin,Gould,BRL,1,Ruck,90500,600,-1200,60.99174254,58,73,1,61.5,61.5,61.5,2,123,0,54.22222222,4,120,67,73,0,CD_I1014599,8,2,LAST,0,BRL,89900,600,1,5,9,6,5,3,4,5,7,6,36
Caitlin Gould,Caitlin,Gould,BRL,1,Ruck,90500,0,0,0,0,0,0,0,0,0,0,0,0,0,4,120,67,0,0,CD_I1014599,8,3,NONE,0,BRL,90500,0,0,0,0,0,0,0,0,0,0,0,0
Caitlin Gould,Caitlin,Gould,BRL,1,Ruck,90500,0,0,0,0,0,0,0,0,0,0,0,0,0,4,120,67,0,0,CD_I1014599,8,4,NONE,0,BRL,90500,0,0,0,0,0,0,0,0,0,0,0,0
Caitlin Gould,Caitlin,Gould,BRL,1,Ruck,90500,0,0,0,0,0,0,0,0,0,0,0,0,0,4,120,67,0,0,CD_I1014599,8,5,NONE,0,BRL,90500,0,0,0,0,0,0,0,0,0,0,0,0
Caitlin Gould,Caitlin,Gould,BRL,1,Ruck,90500,0,0,0,0,0,0,0,0,0,0,0,0,0,4,120,67,0,0,CD_I1014599,8,6,NONE,0,BRL,90500,0,0,0,0,0,0,0,0,0,0,0,0
Caitlin Gould,Caitlin,Gould,BRL,1,Ruck,90500,0,0,0,0,0,0,0,0,0,0,0,0,0,4,120,67,0,0,CD_I1014599,8,7,NONE,0,BRL,90500,0,0,0,0,0,0,0,0,0,0,0,0
Caitlin Gould,Caitlin,Gould,BRL,1,Ruck,90500,0,0,0,0,0,0,0,0,0,0,0,0,0,4,120,67,0,0,CD_I1014599,8,8,NONE,0,BRL,90500,0,0,0,0,0,0,0,0,0,0,0,0
Caitlin Gould,Caitlin,Gould,BRL,1,Ruck,90500,0,0,0,0,0,0,0,0,0,0,0,0,0,4,120,67,0,0,CD_I1014599,8,9,NONE,0,BRL,90500,0,0,0,0,0,0,0,0,0,0,0,0
Caitlin Gould,Caitlin,Gould,BRL,1,Ruck,90500,0,0,0,0,0,0,0,0,0,0,0,0,0,4,120,67,0,0,CD_I1014599,8,10,NONE,0,BRL,90500,0,0,0,0,0,0,0,0,0,0,0,0
Eloise Jones,Eloise,Jones,BRL,2,Defender,100700,0,-10800,59.5540527,60,0,0,0,0,0,0,0,0,59.55555556,4,120,67,0,0,CD_I1005258,8,0,LAST,0,BRL,100700,0,1,2,6,9,4,2,1,3,10,1,16
Eloise Jones,Eloise,Jones,BRL,2,Defender,97600,-3100,-3100,65.65334656,80,48,1,48,48,48,1,48,0,59.55555556,4,120,67,48,0,CD_I1005258,8,1,LAST,0,BRL,100700,-3100,1,6,3,5,5,6,10,2,8,10,58
Eloise Jones,Eloise,Jones,BRL,2,Defender,93400,-4200,-7300,62.94617407,80,53,1,50.5,50.5,50.5,2,101,0,59.55555556,4,120,67,53,0,CD_I1005258,8,2,LAST,0,BRL,97600,-4200,1,10,7,4,8,7,3,7,6,9,75
Amber Ward,Amber,Ward,BRL,3,Defender,45300,0,0,26.79045271,27,0,0,0,0,0,0,0,0,26.8,4,120,67,0,0,CD_I1011115,8,0,LAST,0,BRL,45300,0,1,9,6,3,4,4,3,7,4,1,57
