RoundID,GameDateTime,HomeTeam,AwayTeam
1,16/03/2023 8:20,RIC,CAR
1,17/03/2023 8:40,GEE,COL
1,18/03/2023 2:45,NTH,WCE
1,18/03/2023 5:35,PTA,BRL
1,18/03/2023 8:25,MEL,WBD
1,18/03/2023 9:00,GCS,SYD
1,19/03/2023 2:10,GWS,ADL
1,19/03/2023 4:20,HAW,ESS
1,19/03/2023 5:40,STK,FRE
2,23/03/2023 8:20,CAR,GEE
2,24/03/2023 8:55,BRL,MEL
2,25/03/2023 2:45,COL,PTA
2,25/03/2023 5:35,ADL,RIC
2,25/03/2023 8:25,WBD,STK
2,25/03/2023 8:30,FRE,NTH
2,26/03/2023 2:10,SYD,HAW
2,26/03/2023 4:20,ESS,GCS
2,26/03/2023 7:20,WCE,GWS
3,30/03/2023 8:20,WBD,BRL
3,31/03/2023 8:50,COL,RIC
3,1/04/2023 2:45,HAW,NTH
3,1/04/2023 5:35,GWS,CAR
3,1/04/2023 8:25,STK,ESS
3,1/04/2023 8:30,PTA,ADL
3,2/04/2023 4:10,GCS,GEE
3,2/04/2023 5:20,MEL,SYD
3,2/04/2023 7:20,FRE,WCE
4,6/04/2023 9:35,BRL,COL
4,7/04/2023 6:20,NTH,CAR
4,8/04/2023 3:45,ADL,FRE
4,8/04/2023 6:35,RIC,WBD
4,8/04/2023 9:30,STK,GCS
4,8/04/2023 9:30,SYD,PTA
4,9/04/2023 4:10,ESS,GWS
4,9/04/2023 7:20,WCE,MEL
4,10/04/2023 5:20,GEE,HAW
5,13/04/2023 9:40,ADL,CAR
5,14/04/2023 7:10,FRE,GCS
5,14/04/2023 10:10,RIC,SYD
5,15/04/2023 3:10,BRL,NTH
5,15/04/2023 6:10,ESS,MEL
5,15/04/2023 9:50,PTA,WBD
5,16/04/2023 3:10,GEE,WCE
5,16/04/2023 5:20,GWS,HAW
5,16/04/2023 6:50,COL,STK
6,21/04/2023 10:10,FRE,WBD
6,22/04/2023 3:45,PTA,WCE
6,22/04/2023 6:35,GWS,BRL
6,22/04/2023 9:25,GEE,SYD
6,23/04/2023 3:10,HAW,ADL
6,23/04/2023 5:20,CAR,STK
6,23/04/2023 6:40,GCS,NTH
6,24/04/2023 9:25,MEL,RIC
6,25/04/2023 5:20,COL,ESS
7,28/04/2023 9:50,STK,PTA
7,29/04/2023 3:45,BRL,FRE
7,29/04/2023 4:10,SYD,GWS
7,29/04/2023 6:35,WBD,HAW
7,29/04/2023 9:25,MEL,NTH
7,29/04/2023 9:30,WCE,CAR
7,30/04/2023 3:10,ESS,GEE
7,30/04/2023 5:20,RIC,GCS
7,30/04/2023 6:40,ADL,COL
8,5/05/2023 9:50,CAR,BRL
8,6/05/2023 3:45,RIC,WCE
8,6/05/2023 4:10,GEE,ADL
8,6/05/2023 6:35,GCS,MEL
8,6/05/2023 9:30,GWS,WBD
8,6/05/2023 9:30,FRE,HAW
8,7/05/2023 3:10,PTA,ESS
8,7/05/2023 5:20,COL,SYD
8,7/05/2023 6:40,NTH,STK
9,12/05/2023 9:20,RIC,GEE
9,12/05/2023 10:40,WCE,GCS
9,13/05/2023 3:45,SYD,FRE
9,13/05/2023 4:10,NTH,PTA
9,13/05/2023 6:35,HAW,MEL
9,13/05/2023 9:25,BRL,ESS
9,13/05/2023 9:30,CAR,WBD
9,14/05/2023 3:10,ADL,STK
9,14/05/2023 6:40,COL,GWS
