"Team","Last","LastOpp","Season","SeasonOpp","Giveup70","Giveup100","Top3Mid","Top3OppMid","TopRuc","TopOppRuc","Top2Def","Top2OppDef","Top2For","Top2OppFor","RoundID","season_num","year"
"MEL",1176,1021,1166,1006,6,2,83,87,59,42,60,55,87,64,8,8,2023
"COL",1018,999,1014,1021,5,2,93,78,32,57,56,63,68,68,8,8,2023
"CAR",1110,1029,1104,1115,5,2,82,96,94,63,58,63,79,78,8,8,2023
"GCS",1023,1058,1098,1079,4,2,99,86,49,63,65,65,63,72,8,8,2023
"ADL",1088,1097,1213,1014,5,2,109,81,64,58,63,58,63,76,8,8,2023
"PTA",1058,1060,934,1147,3,2,66,96,71,53,53,69,69,66,8,8,2023
"GEE",999,1018,1119,1056,5,2,95,81,39,67,66,57,69,79,8,8,2023
"WBD",1078,1238,1094,1185,4,2,88,97,73,56,60,64,72,78,8,8,2023
"HAW",1046,1001,1057,1060,4,1,88,88,66,64,54,56,55,73,8,8,2023
"ESS",1022,964,1077,979,5,2,82,82,76,62,59,58,85,61,8,8,2023
"NTH",1139,1176,1209,1038,6,2,113,78,61,56,70,74,71,66,8,8,2023
"STK",826,1206,949,1141,3,1,78,90,41,68,56,67,58,75,8,8,2023
"BRL",1097,1088,1078,956,5,1,84,82,64,60,62,56,74,57,8,8,2023
"RIC",1001,1046,980,1039,4,1,86,82,72,66,56,55,59,66,8,8,2023
"SYD",1238,1078,1044,1016,4,2,81,83,82,57,64,62,75,63,8,8,2023
"GWS",1029,1110,1025,1086,4,1,76,86,42,74,63,63,87,76,8,8,2023
"FRE",1206,1099,1052,1110,4,2,68,91,83,72,74,61,72,72,8,8,2023
"WCE",964,1022,974,1114,4,1,81,82,54,82,69,60,63,80,8,8,2023
