9catrank,Player,Games,FG%,FT%,3PM,PTS,REB,AST,STL,BLK,TO
1,Franz Wagner,3,75.03333333,100,2.333333333,15.33333333,3,2.666666667,0.666666667,0.666666667,0
2,Stephen Curry,3,56.03333333,100,4,18.66666667,3,3.333333333,1.666666667,0.666666667,2.333333333
3,Giannis Antetokounmpo,2,68.35,100,0.5,17,9,1.5,2,1,3.5
4,Jaren Jackson Jr.,3,51.1,91.66666667,1.333333333,16.33333333,5.333333333,1.666666667,1,3,1.666666667
5,D 'Angelo Russell,3,63.06666667,66.66666667,2.666666667,16.66666667,1.666666667,6.333333333,1.333333333,0.666666667,1.333333333
6,Austin Reaves,3,62.7,90.90909091,2.666666667,16,3,2.666666667,1.333333333,0.666666667,1.666666667
7,Myles Turner,2,52.5,100,1.5,9.5,3.5,0,1,3,0.5
8,Gordon Hayward,2,63.85,100,1,13,4,2,1.5,0.5,0.5
9,Mike Muscala,2,49.3,100,2.5,13,6,1,1,1,0.5
10,Jayson Tatum,3,38.8,87.5,2,17.33333333,8,5.333333333,2.333333333,0.333333333,1.666666667
11,Saddiq Bey,2,56.45,88.88888889,1,15,8,0,2,0,1
12,Johnny Davis,2,58.95,100,0.5,11,5.5,2.5,0.5,1.5,0.5
13,Nikola Jokic,4,60.775,63.63636364,1.25,16.5,8,4.75,1.5,0.5,2
14,Johnny Juzang,1,75,0,1,7,3,4,2,1,1
15,De'Anthony Melton,2,34.3,80,2.5,12.5,4.5,6,2.5,1.5,1
16,Jaylin Williams,2,60,80,1.5,11.5,8,2.5,0,0.5,0.5
17,Victor Wembanyama,3,52.73333333,84.61538462,1.666666667,19.33333333,5,1.666666667,1,2,3.333333333
18,Anthony Davis,5,54.24,80,1.2,14.4,5.4,2,0.6,2.2,0.8
19,Terry Rozier,4,54.05,83.33333333,1.5,14.75,4,4.5,1.75,0.5,1.5
20,Jabari Smith Jr.,4,51.675,84.61538462,2,16.25,7.5,1.25,0.5,0.5,1
21,Lauri Markkanen,4,51.675,93.75,1,16.75,8,0.75,0.5,0.5,1.25
22,Dean Wade,3,64.16666667,100,3,11.66666667,5.333333333,1,0.666666667,0,1
23,Desmond Bane,3,47.56666667,86.66666667,3,21.33333333,4.333333333,4,0.666666667,0.666666667,2.666666667
24,Scottie Barnes,3,59.8,76.47058824,1.333333333,17,6,3.666666667,1.333333333,1.666666667,3.333333333
25,Keegan Murray,3,49.5,100,2.333333333,14.66666667,4.666666667,1,1,0.333333333,0
26,Shai Gilgeous-Alexander,2,54.15,83.33333333,1.5,11,3.5,4,3,1,1.5
27,Xavier Tillman,3,58.9,100,0.333333333,7.666666667,5.333333333,2,1.333333333,1,0
28,Zach LaVine,3,54.33333333,100,1.666666667,17,3.333333333,3,2,0,2
29,Tyler Herro,2,49.4,85.71428571,3,26,4,4.5,0,0,2
30,Devin Booker,3,52.26666667,100,3,16.33333333,1,3.666666667,1,0,1.333333333
31,Bilal Coulibaly,3,41.86666667,83.33333333,1,8,4.666666667,1.333333333,3.333333333,0.666666667,0.333333333
32,Julian Strawther,4,50.725,90,3.5,17.75,1.5,1.25,0.25,0.5,0.5
33,Payton Pritchard,5,41.04,100,3.4,15.6,1.8,4.8,1.4,0,1.4
34,Zach Collins,3,58.5,72.72727273,1.333333333,14.66666667,7.333333333,5,0.666666667,0.666666667,2.666666667
35,Aaron Nesmith,3,51.5,100,1.666666667,14,0.666666667,0.666666667,1,0.333333333,0.333333333
36,Killian Hayes,4,54.075,100,0.75,11.25,0.5,3.75,1.5,0.5,1
37,Jaden Springer,3,64.56666667,66.66666667,1.666666667,11.66666667,4.333333333,1.333333333,1.333333333,0.666666667,1.333333333
38,Jamal Cain,4,41.075,100,2,11.25,8.25,0.75,0.5,0,0.75
39,Spencer Dinwiddie,4,50.425,100,2.75,10.25,2.5,4.75,0.25,0.25,0.75
40,Bam Adebayo,3,55.56666667,90,0,17.66666667,6,2.333333333,0,1.333333333,2
41,Day'Ron Sharpe,3,39.66666667,78.57142857,0.333333333,9.333333333,7,0.333333333,0.666666667,1.666666667,0
42,Chet Holmgren,5,56.54,76.19047619,1.4,15,4.8,1.2,0.2,2.2,1.4
43,Tyrese Haliburton,1,44.4,83.33333333,2,15,3,8,1,0,2
44,Haywood Highsmith,4,64.3,0,2.25,9.25,1.75,1.5,1.5,0.5,0.25
45,Naz Reid,4,62.825,71.42857143,2,16.5,4.75,1.5,1,0.25,1.25
46,Jordan Poole,3,38.06666667,91.66666667,4,23.33333333,3.333333333,2.333333333,1,0,3
47,Vince Williams Jr.,1,30,83.33333333,1,12,9,3,1,3,2
48,Jordan Goodwin,3,53.33333333,0,0.666666667,6.666666667,4.666666667,2,2.666666667,0.666666667,1.333333333
49,Dante Exum,3,57.23333333,100,1,7.666666667,2.333333333,5.666666667,0.333333333,0.666666667,1.666666667
50,Al Horford,3,50.4,100,1.333333333,7.333333333,3.666666667,2,0.666666667,1,0.333333333
51,Andrew Funk,1,60,0,3,9,3,0,1,0,0
52,Pascal Siakam,3,64.7,70,1,14,5,3,1.666666667,0.333333333,2.666666667
53,Anfernee Simons,3,57.83333333,70,3.666666667,19.33333333,1,1.666666667,1.333333333,0,2.333333333
54,Ty Jerome,3,60.56666667,100,0.333333333,9.666666667,3.333333333,5,0.333333333,0,1.333333333
55,Tyrese Maxey,3,48.03333333,80,1.666666667,16.33333333,2.333333333,3.333333333,1.333333333,0.333333333,0.666666667
56,Gary Trent Jr.,3,41.1,100,2.666666667,13.66666667,2,2.333333333,1.666666667,0.333333333,2
57,Jaylen Brown,3,58.9,75,2.666666667,18.66666667,3.333333333,2.666666667,0.666666667,0.333333333,3
58,Luka Doncic,3,49.6,85.71428571,2.666666667,17.33333333,3.333333333,2.666666667,0.666666667,0,2
59,Svi Mykhailiuk,3,54.63333333,100,2.666666667,12,3,1.333333333,0.333333333,0,0.666666667
60,Jabari Walker,4,50.25,100,0.5,9.75,6.75,0.75,1.25,0,0.75
61,Isaac Okoro,3,56.66666667,100,1,9.333333333,3.666666667,3.333333333,0.666666667,0,1.333333333
62,Derrick White,4,46.95,85.71428571,1.5,10.5,4,2.25,1,1.75,2.25
63,Nikola Vucevic,4,51.2,80,0.75,13.75,7,2,0.75,0.5,2.25
64,Kyle Kuzma,2,60,87.5,2,20.5,4,2.5,0,0,3.5
65,Eugene Omoruyi,2,57.5,83.33333333,0.5,11,2.5,0,2.5,0,0.5
66,Kentavious Caldwell-Pope,4,65.95,100,1.75,9.5,1.5,2,1.25,0,0.75
67,Jrue Holiday,4,51.025,100,1.25,9.5,4.75,3.5,1.75,0,1.5
68,Jeff Dowtin Jr.,1,100,100,0,8,2,1,1,0,1
69,Royce O'Neale,4,38.875,100,2.25,8.5,4.5,2.75,0.75,1.25,1
70,Kevin Durant,4,53.55,87.5,1.5,17,3.5,3.25,0,0,1.5
71,Moritz Wagner,3,66.66666667,88.88888889,0.666666667,12,2.333333333,0.666666667,1,0,1
72,Jonathan Kuminga,4,55.25,77.41935484,2.5,24,5.75,2.5,1,0.5,4.5
73,Tari Eason,2,71.65,50,0.5,9.5,6,1.5,2.5,0.5,2
74,Tyus Jones,3,36.66666667,83.33333333,0.666666667,8.333333333,4.333333333,4.666666667,1.333333333,0.666666667,0.666666667
75,Mitchell Robinson,4,83.325,22.22222222,0,10.5,8,0.25,1.75,1,0.25
76,De'Aaron Fox,4,34.6,86.36363636,0.75,15.5,4.5,4.25,1,0.5,0.75
77,David Roddy,4,55.9,100,1.25,10.5,4.75,2.25,0.75,0.25,1.75
78,Daniel Gafford,3,55.4,66.66666667,0,8.666666667,5.333333333,0.333333333,0.666666667,3,0.666666667
79,Paul George,3,41.06666667,100,1.333333333,11.33333333,4.666666667,2.333333333,1,0,0.666666667
80,Emoni Bates,3,52.36666667,100,3,12.66666667,3,0.333333333,0.333333333,0.333333333,1
81,Lonnie Walker IV,4,52.85,85.71428571,1.75,15.25,2,1,1.5,0.25,1
82,George Conditt IV,1,50,0,0,2,3,0,2,2,0
83,Thomas Bryant,4,53.45,100,0,10,5.25,1,0.25,0.25,1
84,Grayson Allen,4,50.325,100,1.5,11.75,2.5,3.75,1.5,0.5,2.5
85,Trae Young,3,43.16666667,100,2.333333333,15.66666667,1.333333333,4.333333333,1.333333333,0,3.333333333
86,Cade Cunningham,3,44.43333333,100,2,13.33333333,4.666666667,6,0,0,2
87,T.J. McConnell,3,58.1,66.66666667,0.333333333,8.333333333,2.666666667,7,0.666666667,0,1
88,Alondes Williams,1,50,0,1,9,4,2,2,0,1
89,Kris Dunn,5,67.62,40,0.4,8,2.2,2.8,1.6,0.4,1.2
90,Markelle Fultz,3,55.73333333,100,0.333333333,9,3.666666667,4.333333333,0.666666667,0,1.333333333
91,Devin Vassell,3,50.8,61.53846154,4,17.33333333,2,1.666666667,1.333333333,0.333333333,1
92,Ausar Thompson,4,44.575,71.42857143,1.5,14,8.5,3.5,1.25,1.25,2
93,Harry Giles III,2,73.35,0,0,10,7,0,0.5,0,0.5
94,Alex Caruso,3,38.53333333,0,1.666666667,7,1.666666667,2,1.666666667,0,0.333333333
95,Stanley Umude,4,34.275,100,1.5,8.5,2.75,1.5,0.25,0.75,0.5
96,Jake LaRavia,2,39.3,80,2.5,15.5,4.5,1,1,1,0.5
97,Davis Bertans,5,59.06,100,2.8,9,1,0.4,0.6,0,0
98,Joe Harris,4,59.175,0,2.25,7.25,1.25,1,0.75,0.5,0.25
99,Olivier Sarr,5,51.66,100,0.2,5.8,4.6,1.2,0.2,1,1
100,Bennedict Mathurin,3,53.5,88.88888889,1,13.66666667,5.333333333,2.333333333,0,0,1.333333333
101,Karl-Anthony Towns,3,45.76666667,80,2.333333333,17,4,2,0.666666667,1,2.333333333
102,Dario Saric,4,56.25,77.77777778,1.25,9.5,4.25,2.25,1.5,0,1.5
103,Taurean Prince,6,53.38333333,77.77777778,1.833333333,9.333333333,2.166666667,0.666666667,1.333333333,0,0.166666667
104,Brandin Podziemski,3,40,75,0.666666667,8.333333333,5.666666667,6,0.333333333,0.666666667,1.333333333
105,Matisse Thybulle,3,65,0,1.333333333,5.333333333,1.333333333,1,1.333333333,1,0.333333333
106,Luka Garza,5,53.16,82.35294118,0.8,13.2,4.2,1.4,0.4,0.4,0.8
107,Santi Aldama,4,47.475,76.92307692,1,13.5,5.75,1.75,0.5,0.5,0.75
108,Rudy Gobert,4,76.775,72.72727273,0,7.5,7.25,0.75,0.5,1,0.75
109,Ziaire Williams,4,48.25,80,2.25,11.75,2.75,1.75,0.5,0.75,1.5
110,Nate Williams,2,60,100,0,11.5,5,0,0.5,0,0.5
111,Jae'Sean Tate,4,56.25,81.81818182,0.5,7.25,4.25,1.5,1.25,0,0.25
112,Fred VanVleet,3,35.3,100,1.333333333,9.333333333,1.333333333,3,2.666666667,0.666666667,1.333333333
113,Isaiah Joe,5,48.56,92.85714286,2,11,1.8,1,0.6,0,0.4
114,Bones Hyland,4,48.6,76.47058824,0.25,15.5,4,4,1.25,0.5,2
115,Malik Beasley,4,40.6,0,3.5,13,3,1.75,1,0,0.75
116,Coby White,5,54.82,81.81818182,1.4,13.2,3.2,4,0.8,0,2.6
117,Kristaps Porzingis,4,53.65,68.42105263,2.25,15.5,7.5,0.25,0.5,1,2.25
118,Jeenathan Williams,2,70,100,0.5,8,1,1.5,0,0.5,0
119,D'Angelo Russell,3,50,83.33333333,0.666666667,10.33333333,2.333333333,4.333333333,1.333333333,1,2.666666667
120,AJ Green,2,58.35,100,2.5,8,1.5,0.5,0.5,0,0.5
121,Dejounte Murray,3,41.06666667,100,1.666666667,8.333333333,4,2.333333333,2.333333333,0,2
122,Jae Crowder,3,53.86666667,0,1.666666667,9.666666667,3.666666667,1.333333333,0.666666667,0,1
123,Jalen Johnson,4,51.575,66.66666667,0.75,9.25,4,4,1,0.25,1
124,Josh Okogie,4,55.125,50,0.75,8.75,4.5,2.25,1.25,0.5,0.75
125,Onyeka Okongwu,3,67.13333333,57.14285714,1,13.66666667,4.666666667,1,0,0.666666667,1.333333333
126,Justin Minaya,2,20,100,0.5,3.5,3.5,3,2.5,0,1
127,Caris LeVert,2,47.2,100,2,10,3,4.5,1,0.5,3.5
128,Eric Gordon,4,50.2,90.90909091,1.25,11.75,1.75,2,0.25,0.25,1
129,Isaiah Stewart,4,47,100,0.75,10.75,4.75,1,0.75,1.5,1.75
130,Tre Jones,3,50,71.42857143,0.666666667,9.666666667,2,4.666666667,2.333333333,0.333333333,1.666666667
131,Zeke Nnaji,5,29.16,82.14285714,0.2,9.2,4.8,1.6,0.8,1.2,0.6
132,Hunter Tyson,5,37.28,100,1.6,9.4,4.4,1.8,1,0.2,0.4
133,Cole Anthony,3,66.66666667,85.71428571,0.666666667,9.333333333,3.333333333,4,0.666666667,0,1.666666667
134,Jacob Gilyard,4,42.5,0,1.25,3.75,2.5,6,1.5,0.25,1.75
135,Troy Brown Jr.,5,51.94,0,2,8,3.4,1,0.6,0,0.6
136,Danilo Gallinari,3,40.46666667,85.71428571,1.333333333,8.666666667,3,1.666666667,0.333333333,0.666666667,1
137,DeMar DeRozan,4,39.075,94.11764706,1,13,1.25,2.5,1.75,0.25,1.5
138,Jamal Murray,4,44.325,76.92307692,0.75,11.75,2,5.5,1.5,0.25,1
139,Russell Westbrook,2,37.5,0,0.5,3.5,5,5,1,0,2
140,Kevon Looney,3,63.9,0,0,4,7.666666667,2,0.333333333,0.333333333,1
141,Sam Hauser,5,28.86,100,2.2,8.4,3.8,1.6,1.4,0.2,0.4
142,Jalen McDaniels,3,52.86666667,85.71428571,0.666666667,8.666666667,4,1,0.333333333,0.666666667,0.333333333
143,Shake Milton,4,61.45,0,1,8,2.25,3.5,0.25,0.25,1.5
144,Robert Covington,4,43.45,100,0.5,5.5,2.25,0.25,1.25,1,0.5
145,Mark Williams,4,66.375,53.84615385,0,9.25,7.75,1.5,1,1,1
146,Grant Williams,3,39.06666667,0,2,6.666666667,5,2.666666667,0.333333333,1,1.333333333
147,Paul Reed,3,42.7,75,0,11,5.666666667,2,1.333333333,0.333333333,1
148,Talen Horton-Tucker,5,38.22,78.57142857,1.6,14.2,4,4.4,0.8,0.2,2.4
149,Moses Moody,4,63.9,85.71428571,2,12,2.75,1,0.75,0,1.75
150,Trent Forrest,4,49.15,100,0,5.75,2.25,3.25,1,0,1.5
151,Tim Hardaway Jr.,2,39.8,0,3.5,14.5,2.5,0,1.5,0,1
152,Chris Paul,3,50,100,1.666666667,8.333333333,3.666666667,6,0,0,3.333333333
153,James Wiseman,4,37.5,81.81818182,0.25,7,4.75,0.25,0.5,0.75,1.75
154,Kobe Brown,4,42.4,100,1,7,3,1,1,1,1.25
155,LaMelo Ball,4,39.3,80,1.75,15.25,4.25,4.75,1.25,0.25,2.25
156,Toumani Camara,4,37.5,66.66666667,1.25,6.75,2.75,2,0.75,0.75,0.75
157,Kawhi Leonard,3,43.9,83.33333333,2.333333333,11.33333333,2,1.333333333,1,0,0.666666667
158,Cason Wallace,5,52.4,66.66666667,0.8,8.4,2.8,2,1.8,0,1.2
159,Jordan McLaughlin,4,55.825,0,1.5,6,1.25,3,0.75,0,1
160,Brook Lopez,3,43.33333333,100,1.333333333,10.66666667,3,1,0.333333333,0.666666667,1
161,Cam Thomas,4,37.7,100,2.25,16.25,2.25,1.75,0.25,0,1.75
162,Tobias Harris,3,35.03333333,90,1,13.33333333,7.333333333,1.666666667,1,0.666666667,2
163,Trayce Jackson-Davis,4,60.725,60,0,6.25,4.75,0.75,0.75,1,0
164,Jalen Smith,3,70.36666667,25,0.666666667,9.666666667,7,0,0,1.666666667,1.333333333
165,Dorian Finney-Smith,4,55,100,2,8,1.75,1.25,0.25,0.25,1
166,Ayo Dosunmu,5,50.54,75,1.2,9.8,2.8,3,0.4,0.2,1.2
167,Trey Lyles,3,39.66666667,100,1.666666667,7,2,0.666666667,1,0.333333333,0
168,Filip Petrusev,3,80,100,0.333333333,5,3.333333333,1.666666667,0,0.333333333,0.333333333
169,Isaiah Roby,2,53.35,50,1.5,8,2.5,1.5,0.5,0.5,0
170,Clint Capela,2,70.85,66.66666667,0,7,5.5,0,1,0.5,0
171,Jalen Williams,5,48.24,75,1.2,17.4,2.2,3.4,1.6,0.2,1.8
172,Craig Porter,3,85.7,87.5,0.333333333,7.333333333,1.666666667,3,0,0.333333333,1
173,Jaime Jaquez Jr.,1,62.5,75,0,13,7,2,0,0,2
174,Jalen Suggs,3,38.86666667,83.33333333,1.333333333,7.666666667,3.333333333,1.333333333,1.666666667,0.666666667,1.333333333
175,JaVale McGee,4,69.175,100,0,8.25,3.5,1.75,0.5,1,2.75
176,Colby Jones,4,54.8,0,2.25,11.25,2,2.25,1.5,0,0.75
177,Kendric Davis,1,50,100,1,5,2,2,0,0,0
178,Walker Kessler,5,54.54,33.33333333,0.2,8,6.4,1.4,0.4,2,0.4
179,Jeremy Sochan,3,45.2,71.42857143,0.666666667,9.666666667,4.666666667,2.333333333,2,0,1.333333333
180,Pat Connaughton,4,38.1,66.66666667,2.25,9.75,5.75,2.5,0.5,0.25,1.25
181,Ryan Rollins,3,52.76666667,100,0.333333333,8.333333333,2.666666667,1.333333333,0.333333333,0.333333333,0.333333333
182,Dereck Lively II,3,53.33333333,0,0,3.333333333,5,0.666666667,0.666666667,2,1
183,Malaki Branham,4,49.275,50,1.75,10.5,2.5,1.25,0.75,0.5,1
184,O.G. Anunoby,3,58.56666667,57.14285714,1.666666667,10.33333333,1,2.333333333,1.333333333,0,0.666666667
185,Thaddeus Young,3,55.56666667,100,0,5.666666667,3.666666667,1.333333333,0.666666667,0,1
186,Zion Williamson,4,59.3,73.68421053,0,12,3.5,3.75,1.25,0.5,2.25
187,Leonard Miller,5,54.28,50,0.8,7.8,4.8,0.6,0.8,0.8,1.8
188,Jordan Clarkson,4,51.475,100,1.25,9.75,2.75,3,0.75,0.25,2.75
189,Micah Potter,1,50,100,2,8,3,0,0,0,1
190,Nickeil Alexander-Walker,4,37.2,100,2,7,2.25,1.75,0.75,0.75,0.5
191,Charles Bassey,4,50.425,50,0,4.5,7.25,2,0,1.5,1.75
192,Anthony Edwards,3,46.4,75,2.333333333,16.33333333,5,2,0,0.666666667,2.333333333
193,Jonas Valanciunas,4,38.9,100,0,6,6.5,1.25,0.75,0.75,1.75
194,Jay Huff,1,40,0,1,5,6,1,0,2,2
195,Alec Burks,4,71.875,100,1.25,6.25,3,1.25,0.5,0,0.75
196,RJ Barrett,3,33.7,85.71428571,2,18,3.666666667,2.333333333,0.666666667,0,1.666666667
197,Moussa Diabate,3,34.93333333,87.5,0,6.333333333,5.666666667,0,1,1.333333333,0.666666667
198,Jock Landale,2,56.65,100,1,7,3.5,0.5,0.5,0,1.5
199,Evan Mobley,2,52.8,71.42857143,0,10.5,6.5,0.5,0,1,0.5
200,Marvin Bagley III,4,62.85,66.66666667,0.5,13,5,0.75,0.5,0,0.25
201,Collin Sexton,5,39.68,88.23529412,1,11.2,2,3.4,0.2,0.2,1.6
202,Lamar Stevens,4,56.25,100,0.25,7.5,4.5,0.25,0.5,0.25,1
203,Mike Conley,3,72.23333333,100,1,4.666666667,1.333333333,2.666666667,1,0,1.666666667
204,Herbert Jones,4,50.525,66.66666667,1.25,6.75,3.25,0.75,1,0.75,1.25
205,Trey Jemison,4,70.825,50,0,4.25,6.75,1.5,0,0.75,1.5
206,Deandre Ayton,2,45,50,0,7.5,6,2.5,1,1,1
207,Jacob Toppin,1,33.3,100,0,4,2,0,0,2,0
208,Kelly Olynyk,4,27.5,83.33333333,0.25,3.5,3.75,3,0.75,0.75,1.25
209,Danny Green,3,38.9,0,1.666666667,5.666666667,1,1.333333333,1.666666667,0.333333333,0.333333333
210,Kelly Oubre Jr.,3,47.03333333,57.14285714,2.333333333,15,3.666666667,2,0.666666667,1.333333333,1.666666667
211,Goga Bitadze,3,43.33333333,100,0.666666667,5.333333333,3.333333333,0.666666667,0,1,1
212,Cedi Osman,4,44.775,73.33333333,0.75,9,4.25,2.25,0.75,0.5,0.25
213,Andre Jackson Jr.,4,57.125,75,0.5,7.25,4.25,2,1,0.5,1.25
214,Patrick Beverley,3,54.36666667,100,1.666666667,7.333333333,2.333333333,2,0,0,1.333333333
215,P.J. Washington,4,38.25,66.66666667,1.5,13.5,5.5,1.25,0.75,1,2.5
216,Domantas Sabonis,4,47.225,60,0.5,12,10.75,6,0.5,0,2.5
217,TyTy Washington Jr.,3,46.2,100,0.666666667,6.666666667,2,2.666666667,0.666666667,0,0.666666667
218,Javonte Smart,3,47.23333333,0,1.666666667,5,0.666666667,1.666666667,0.666666667,0,0.666666667
219,Andre Drummond,4,37.45,83.33333333,0,7.75,11.25,1.25,0.5,0.5,1.5
220,Boban Marjanovic,2,50,100,0,3,3.5,1,0.5,0,0.5
221,Josh Minott,5,43.66,80,0,7.6,3,2.8,0.2,0.8,1
222,Dominick Barlow,4,54.175,100,0.25,6.25,2.25,1,0.25,0.25,0.25
223,CJ McCollum,4,38.625,100,2.25,11.75,2.5,2.5,0.5,1,2.75
224,Chimezie Metu,5,41.32,87.5,1.6,8.2,3.4,1,0.6,0.6,1.4
225,Shaedon Sharpe,4,39.15,85.71428571,1,14,4.5,2.75,1,0,2.25
226,Bogdan Bogdanovic,3,39.23333333,0,0.666666667,6.666666667,4,3,2,0,2
227,Saben Lee,5,42.58,89.65517241,0.6,11.4,2.8,3.8,0.6,0.2,1.8
228,Jericho Sims,4,37.5,0,0,1,4.75,1.5,0.25,1,0.5
229,Cole Swider,4,44.25,100,3,12,1.75,1.5,0,0,1.5
230,Harrison Barnes,5,42.94,77.77777778,1,8.4,2,1.6,1,0.2,0.2
231,Daishen Nix,4,40.9,100,1.5,6,1.5,3.25,0,0,1.5
232,Jaden McDaniels,1,25,100,1,9,5,1,0,1,1
233,Trendon Watford,3,47.76666667,86.66666667,0.666666667,11.66666667,4.666666667,1.333333333,0.333333333,0.333333333,2.333333333
234,John Collins,4,58.7,100,0.75,8,3.75,0.5,0,0.25,1.75
235,Darius Bazley,3,55,100,1,5.666666667,6,2,1,0.333333333,2.666666667
236,Isaiah Hartenstein,4,56.125,66.66666667,0.5,9.5,5,2,0.75,0.25,2.25
237,Dwight Powell,3,41.66666667,66.66666667,0,6.666666667,2,0,1.333333333,0.333333333,0
238,Bobby Portis,3,54.3,60,0,8.333333333,6.666666667,2.333333333,0,0,0
239,Quentin Grimes,4,38.025,60,2.5,9.25,2,2.25,1,0,1
240,Aaron Holiday,4,47.925,100,0.5,4.25,3.75,3.25,0.5,0.25,1.25
241,Mac McClung,2,100,100,0,2.5,1,1,0.5,0.5,0
242,Marcus Sasser,4,32.225,83.33333333,1.75,13,3.5,5.25,0,0,2.5
243,Bradley Beal,2,44.3,84.61538462,0.5,11,2,2.5,1,0,1
244,Josh Hart,2,58.35,100,1.5,5.5,3,2,0.5,0,2.5
245,Ben Sheppard,3,39.8,0,3,11.66666667,3.666666667,2.666666667,0,0.333333333,1
246,Jevon Carter,5,42.92,100,1.4,6.4,1.2,2.2,0.8,0.2,0.6
247,Nic Claxton,3,80.96666667,37.5,0,9,4.333333333,1.333333333,0.666666667,2,1.666666667
248,Rui Hachimura,6,42.2,88.88888889,0.833333333,10.5,4,1.166666667,0.333333333,0.166666667,1.166666667
249,Bruce Brown,3,36.1,50,0.666666667,6.333333333,1.666666667,3.666666667,1,1.333333333,0.333333333
250,Delon Wright,3,58.33333333,100,0.333333333,3.666666667,2.666666667,3.666666667,1.333333333,0.333333333,2.333333333
251,Gary Payton II,4,45.85,50,0.25,4.75,2.5,1,1.5,0.75,0.75
252,Skylar Mays,4,47.85,75,0.75,7.75,1.5,3.75,1.75,0,1.75
253,Immanuel Quickley,2,39.65,80,1,15,0.5,2,3,0,2.5
254,Neemias Queta,3,86.66666667,42.85714286,0,9.666666667,4.666666667,0.666666667,0.333333333,0.333333333,1
255,Kenrich Williams,2,20,0,0.5,2.5,3,4,0.5,1,0.5
256,Mouhamed Gueye,4,69.275,80,0.75,6.75,3,1.25,0.5,0.25,1.5
257,Drew Eubanks,4,64.575,63.15789474,0,6.5,6.5,2.75,1,1,1.25
258,Colin Castleton,6,53.33333333,50,0,5.5,5.333333333,0.666666667,0.333333333,1.5,1.333333333
259,Cam Whitmore,4,39.375,76.47058824,1.5,13.75,4,0.75,1.75,0.25,0.75
260,Miles McBride,4,47.975,50,1.75,10.75,1.5,4.25,1.5,0,1.5
261,Max Strus,2,37.5,100,2,8,3.5,3,0.5,0,3
262,John Konchar,1,25,100,1,5,2,1,1,0,0
263,Sir'Jabari Rice,1,50,100,1,6,0,2,0,0,0
264,Jermaine Samuels Jr.,4,59.175,100,0,4,2.5,1.5,0.75,0,0.5
265,Jared Butler,3,50,100,0.333333333,3,2.333333333,2.333333333,0.333333333,0,0.333333333
266,Jerami Grant,3,43.16666667,66.66666667,1,12.33333333,1.666666667,0.666666667,0.333333333,0.333333333,1.333333333
267,Mason Plumlee,3,72.23333333,60,0,5,4.333333333,1.666666667,1,0.666666667,2
268,Malik Monk,5,37.26,90,1.2,9.4,1.6,4.2,0.8,0.4,2.4
269,Ivica Zubac,4,59.25,40,0,6.5,5.5,0.5,0,1.25,0.5
270,Torrey Craig,5,43.06,0,0.6,4.6,3.4,1.8,0.8,0.4,0.4
271,Luke Kornet,4,75,100,0,3.25,2.5,1.75,0,0.5,1
272,Evan Fournier,4,42.5,83.33333333,1.75,10.5,2.25,0.5,0.25,0,0.25
273,Udoka Azubuike,4,50,83.33333333,0,2.75,3.5,0.25,0,1,0.75
274,Georges Niang,3,38.86666667,0,2,6,2.333333333,1,1,0.333333333,1.333333333
275,Duop Reath,4,46.525,72.72727273,0.75,7.75,4.25,1.25,0.5,0.5,1
276,Dennis Schroder,3,41.1,75,1,8.333333333,3.666666667,4,0.666666667,0,1.666666667
277,Jalen Crutcher,2,37.5,0,1,4,0.5,2,0,0,0.5
278,Luguentz Dort,5,44.68,76.92307692,1.6,10.8,3.2,0.8,0.4,0,1
279,Steven Adams,2,75,50,0,4.5,5,0.5,0.5,1,1.5
280,JT Thor,4,39.075,77.77777778,1,8.25,5,0.5,0.25,1.25,1.5
281,Armoni Brooks,4,39.475,0,2,6,2,1,0.25,0,0.25
282,Brandon Ingram,4,44,75,0.25,12,4.25,3.25,1.5,0.25,3.25
283,Alex Len,5,49,55.55555556,0.2,3.6,2.6,1.8,0,2.2,0.6
284,AJ Griffin,4,34.925,100,1.25,8.5,2.5,1.25,1.25,0,0.75
285,Ben Simmons,4,44.175,57.14285714,0,6.5,5.25,7,1.25,0.25,3.75
