"","member_id","round_id","teamValue","inTotal","outTotal","tradesTotal","CumTrades","remaining","cashcheck"
"1",72028,1,1366800,1366800,0,-1366800,-1366800,21600,21600
"2",72031,1,1206300,1206300,0,-1206300,-1206300,182100,182100
"3",72032,1,1387600,1387600,0,-1387600,-1387600,800,800
"4",72033,1,1376800,1376800,0,-1376800,-1376800,11600,11600
"5",72034,1,1386800,1386800,0,-1386800,-1386800,1600,1600
"6",72035,1,1386800,1386800,0,-1386800,-1386800,1600,1600
"7",72036,1,1387800,1387800,0,-1387800,-1387800,600,600
"8",72038,1,1384400,1384400,0,-1384400,-1384400,4000,4000
"9",72040,1,1386900,1386900,0,-1386900,-1386900,1500,1500
"10",72041,1,1380300,1380300,0,-1380300,-1380300,8100,8100
"11",72042,1,1387800,1387800,0,-1387800,-1387800,600,600
"12",72044,1,1382200,1382200,0,-1382200,-1382200,6200,6200
"13",72045,1,1387600,1387600,0,-1387600,-1387600,800,800
"14",72046,1,1372400,1372400,0,-1372400,-1372400,16000,16000
"15",72047,1,1386100,1386100,0,-1386100,-1386100,2300,2300
"16",72048,1,1382400,1382400,0,-1382400,-1382400,6000,6000
"17",72049,1,1386700,1386700,0,-1386700,-1386700,1700,1700
"18",72050,1,1356600,1356600,0,-1356600,-1356600,31800,31800
"19",72051,1,1384500,1384500,0,-1384500,-1384500,3900,3900
"20",72052,1,1369400,1369400,0,-1369400,-1369400,19000,19000
"21",72053,1,1386600,1386600,0,-1386600,-1386600,1800,1800
"22",72054,1,1380500,1380500,0,-1380500,-1380500,7900,7900
"23",72056,1,1372900,1372900,0,-1372900,-1372900,15500,15500
"24",72057,1,1367100,1367100,0,-1367100,-1367100,21300,21300
"25",72058,1,1379700,1379700,0,-1379700,-1379700,8700,8700
"26",72060,1,1365900,1365900,0,-1365900,-1365900,22500,22500
"27",72061,1,1385600,1385600,0,-1385600,-1385600,2800,2800
"28",72064,1,1359100,1359100,0,-1359100,-1359100,29300,29300
"29",72066,1,1383000,1383000,0,-1383000,-1383000,5400,5400
"30",72067,1,1384900,1384900,0,-1384900,-1384900,3500,3500
"31",72068,1,1384700,1384700,0,-1384700,-1384700,3700,3700
"32",72069,1,1387600,1387600,0,-1387600,-1387600,800,800
"33",72071,1,1378900,1378900,0,-1378900,-1378900,9500,9500
"34",72073,1,1380000,1380000,0,-1380000,-1380000,8400,8400
"35",72075,1,1385400,1385400,0,-1385400,-1385400,3000,3000
"36",72076,1,602700,602700,0,-602700,-602700,785700,785700
"37",72077,1,1386100,1386100,0,-1386100,-1386100,2300,2300
"38",72079,1,1376400,1376400,0,-1376400,-1376400,12000,12000
"39",72080,1,1375900,1375900,0,-1375900,-1375900,12500,12500
"40",72081,1,1384200,1384200,0,-1384200,-1384200,4200,4200
"41",72085,1,1387600,1387600,0,-1387600,-1387600,800,800
"42",72088,1,602700,602700,0,-602700,-602700,785700,785700
"43",72089,1,1343600,1343600,0,-1343600,-1343600,44800,44800
"44",72090,1,1383800,1383800,0,-1383800,-1383800,4600,4600
"45",72091,1,1383200,1383200,0,-1383200,-1383200,5200,5200
"46",72092,1,1385200,1385200,0,-1385200,-1385200,3200,3200
"47",72096,1,1374000,1374000,0,-1374000,-1374000,14400,14400
"48",72098,1,1375000,1375000,0,-1375000,-1375000,13400,13400
"49",72099,1,1368300,1368300,0,-1368300,-1368300,20100,20100
"50",72100,1,1383700,1383700,0,-1383700,-1383700,4700,4700
"51",72101,1,1375900,1375900,0,-1375900,-1375900,12500,12500
"52",72103,1,1387400,1387400,0,-1387400,-1387400,1000,1000
"53",72104,1,1324500,1324500,0,-1324500,-1324500,63900,63900
"54",72106,1,1374800,1374800,0,-1374800,-1374800,13600,13600
"55",72108,1,1373300,1373300,0,-1373300,-1373300,15100,15100
"56",72109,1,1378700,1378700,0,-1378700,-1378700,9700,9700
"57",72111,1,1365700,1365700,0,-1365700,-1365700,22700,22700
"58",72112,1,1383700,1383700,0,-1383700,-1383700,4700,4700
"59",72113,1,1378800,1378800,0,-1378800,-1378800,9600,9600
"60",72114,1,1366200,1366200,0,-1366200,-1366200,22200,22200
"61",72115,1,1341800,1341800,0,-1341800,-1341800,46600,46600
"62",72119,1,1380500,1380500,0,-1380500,-1380500,7900,7900
"63",72120,1,1363500,1363500,0,-1363500,-1363500,24900,24900
"64",72121,1,1378600,1378600,0,-1378600,-1378600,9800,9800
"65",72122,1,1381000,1381000,0,-1381000,-1381000,7400,7400
"66",72123,1,1384700,1384700,0,-1384700,-1384700,3700,3700
"67",72124,1,1378800,1378800,0,-1378800,-1378800,9600,9600
"68",72125,1,1379800,1379800,0,-1379800,-1379800,8600,8600
"69",72127,1,1378700,1378700,0,-1378700,-1378700,9700,9700
"70",72128,1,1386000,1386000,0,-1386000,-1386000,2400,2400
"71",72129,1,1342400,1342400,0,-1342400,-1342400,46000,46000
"72",72130,1,1375000,1375000,0,-1375000,-1375000,13400,13400
"73",72131,1,1360500,1360500,0,-1360500,-1360500,27900,27900
"74",72132,1,1375400,1375400,0,-1375400,-1375400,13000,13000
