idPlayerNBA,namePlayer,summary,comments,dynastycomment
2544,LeBron James,LeBron still looks spry at his advanced age and it wouldn’t surprise me if he kept going into his early 40s at this rate. ,"After supposedly entertaining the idea of retirement that no one believed in the slightest, LeBron is back for his age-39 season. Yes, 39! Even though he still somehow averaged 26/8/6 in 2022-23, Father Time is starting to chip away at the legend. LeBron hit just 32% from deep and continues to settle for a lot of bad looks, attempting 6.9 per game. And for the first time in his 20-year career, LeBron averaged less than a steal per game. 

He did have a 33% usage rate which ranked 6th in the NBA, and considering the makeup of the roster, I’d guess another season above 30% is highly likely. The biggest concern outside of his average FT% on high volume and declining defensive metrics is obviously his durability, as James has been on basically every injury report the Lakers have released for the past three seasons along with Anthony Davis. The foot injury he was fighting through at the end of the season was particularly worrying. With an average of 55 games played over the past five seasons, James is as likely to play 60+ games as he is to get past the first page of a book. 

Even though the cracks in his armor are starting to show, it’s worth noting that he still managed a second-round finish in 9-cat for per-game value. If you’re willing to punt away one or two of his weaknesses, James can still get the job done and can get you 25/5/5 in his sleep.",He'll have to retire at some point in his 50s.
2738,Andre Iguodala, , ,
101108,Chris Paul,"Will take a backseat to Curry, but there’s still a path to 28 minutes here. High assists will keep his value afloat.","After 17 consecutive seasons ranked as a second-rounder or higher in 9-cat, Paul finally had a third-round finish in 2022-23, narrowly beating his ADP of 36. He played less than 70 games for the fifth time in his last seven seasons with a total of 59 appearances, and he suffered yet another injury to cut his postseason short. 

With the Suns moving in a new direction, Paul was shipped off to the Warriors where he will team up with Stephen Curry, Klay Thompson and Draymond Green. Paul’s role isn’t entirely clear yet, but whether he starts or not, coach Steve Kerr said he wants CP3 to “control the game at key times” for Golden State and that he’ll spend a lot of time next to Steph. That’s all I need to hear and it’s a guarantee that his floor will likely be 28 minutes a night. 

Paul’s usage likely won’t be as high in Golden State, but Jordan Poole managed six pick-and-rolls per game last season and it’s conceivable that Paul will get roughly the same. His 2.4% steal rate is a drop off from his career rate of 3.1%, but it’s not bad either. His assist rate is still elite, and we’re likely to see some positive regression with his mid-range game which wasn’t up to his usual standards last season. If he can stay healthy and flirt with 70 games, I actually think he could end up being a good value. ",I'm expecting a 28-minute role. Still has plenty left in the tank at his advanced age.
200752,Rudy Gay, , ,
200768,Kyle Lowry,"He’s washed, but he’s still the best playmaker on the team and Gabe Vincent peaced out. ","Kyle Lowry may be the latest victim of Father Time, as his production trailed off significantly for the third straight season in which he played in just 55 games. A nagging knee injury and the emergence of Gabe Vincent reduced Lowry’s role at the end of the season, leaving him outside the top-100 in 9-cat on a per-game basis. 

So where do we go from here? Lowry’s entering the final year of his contract in his age-37 season, so he’s sure to be the subject of countless trade rumors. His main competition in Vincent is now with the Lakers, while the addition of Josh Richardson will fill the hole left by Max Strus. But we also have the Damian Lillard rumors that aren’t going anywhere, making it difficult to gauge where Lowry stands with the Heat. His best days are far behind him and he’s mainly just a low-end source of dimes, 3s and steals at the expense of your FG%.",
200782,P.J. Tucker, , ,
201142,Kevin Durant,"If not for injuries and missed games, there would be an argument to take KD in the top three even at his advanced age. ","Injuries robbed Kevin Durant of a phenomenal season, something we’ve been saying about him quite a lot. He saw the floor only 47 times in 2022-23 to continue a depressing trend. He played 55 and 35 games in the two years prior, so he’s yet to put together a full season since his Achilles injury that kept him out for the entire 2019-20 campaign. Not great for someone turning 35 before opening night. 

He was 5th in per-game 9-cat value last season, averaging 29.1 points, 6.7 rebounds, 5.0 assists,1.4 blocks, 0.7 steals and 2.0 triples with a 56/40/92 shooting line. His trade to the Suns also had a small impact on his fantasy value, as he lost a couple shots per night and saw his assists per game drop to 3.5. 

The Suns went star chasing and basically swapped Chris Paul for Bradley Beal, so it’s inevitable that a slight decrease in usage is coming for KD. But he’s been on stacked rosters for seemingly the past decade which is something he takes a lot of heat for, but he’s never once taken a backseat to anyone. The injuries are obviously not ideal, but KD is still among the best players in the NBA and proved it last season when he became the first player in history to shoot over 55% from the field, 40% from deep and 90% from the line.",Simply cannot stay on the court for the last four seasons. Still a top-3 talent when active.
201143,Al Horford,"Will have a load management plan, but he’s still a mid-round producer every time he takes the floor. Aging like a fine wine. ","Al Horford continues to age gracefully and has been able to hold his own down low with his old man strength. He made 63 appearances in 2022-23 with some maintenance days sprinkled in, but he played 30.5 minutes per night with Robert Williams limited to 35 appearances. He was able to beat his ADP of 83 as the 63rd best player in 9-cat, but he was 85th in totals. 

Now going into his age-37 season, the Celtics are likely to load manage him again. Presumably, Robert Williams will be ready for a larger workload with a healthy offseason under his best, and the addition of Kristaps Porzingis will take some of the load off Horford’s plate on both ends. 

Horford will still have a significant role on the Celtics, as the Celtics are extremely weak outside of their top seven rotation players. The veteran will likely be a couple rounds cheaper than he was last season and I think he’ll end up being a decent value with his newfound willingness to fire away from deep – he averaged a career-high 2.3 triples in 2022-23 and was second in the NBA in 3P%.",
201144,Mike Conley,"Was phenomenal down the stretch, but he’s getting up there in age and will surely need some maintenance. ","With Utah shifting towards a rebuild, Mike Conley was sent packing to the Wolves where he made an incredible impact. In 24 appearances, he averaged 14.0 points, 5.0 assists, 3.1 rebounds, 1.2 steals and 2.4 triples on a 46/42/86 shooting line. During that span, Conley was posting 6th-round value in 9-cat which is pretty remarkable for a 35-year-old. 

Only Stephen Curry outperformed Conley in corner 3P%, and for the season he ranked in the 98th percentile on pick-and-rolls. And in addition to Anthony Edwards, Rudy Gobert and Jaden McDaniels, he’ll have another weapon at his disposal in a healthy Karl-Anthony Towns. He might be a “boring” pick going into his age-36 season, but that could make him a valuable pick at his ADP for someone who will get the job done in points, 3s, dimes and steals with elite efficiency. I do expect him to get plenty of maintenance this season, though. ",Showed that he had plenty left in the tank late in 2022-23.
201145,Jeff Green, , ,
